"TF1","TF2","timepoint","n_TF1_only","n_TF2_only","n_Both_TFs","mean_TF1_only","mean_TF2_only","mean_Both_TFs","p_Both_vs_TF1","p_Both_vs_TF2","p_TF1_vs_TF2","p_adj_Both_vs_TF1","p_adj_Both_vs_TF2","p_adj_TF1_vs_TF2","diff_Both_minus_TF1","diff_Both_minus_TF2","diff_TF1_minus_TF2","direction_Both_vs_TF1","direction_Both_vs_TF2","direction_TF1_vs_TF2"
"EHF","SP5","day_1",49,49,151,0.345491808571364,0.0487085967104534,-0.107526168612422,0.000127139805186853,0.176339124404169,0.033631870870569,0.0140210021347179,0.56432697865304,0.18188664858573,-0.643147077942487,-0.197080041999623,0.446067035942864,"Both_lower_than_TF1_only","not_significant","not_significant"
"ZNF354C","HOXA4","day_1",64,52,145,0.226144374525585,-0.00730449823237726,-0.186744512968697,7.75907170820094e-05,0.180376398149545,0.126159597179769,0.0140210021347179,0.56432697865304,0.346666499329878,-0.555532022097536,-0.126342194496013,0.429189827601523,"Both_lower_than_TF1_only","not_significant","not_significant"
"RBPJ","HOXA4","day_1",66,65,132,0.236784972592596,-0.121308761708019,-0.148278172556996,0.000264547210089017,0.708840269836036,0.00404285040138272,0.0140210021347179,0.881890476556571,0.0651085032000947,-0.500602818599307,0.0348273029762395,0.535430121575546,"Both_lower_than_TF1_only","not_significant","not_significant"
"ELF2","HOXA4","day_1",65,50,147,0.26155796768982,-0.156021395218564,-0.133719173657255,0.000236638028864682,0.790534086239137,0.00297389785526442,0.0140210021347179,0.906889752611997,0.0651085032000947,-0.597495001391254,0.0114365052091775,0.608931506600431,"Both_lower_than_TF1_only","not_significant","not_significant"
"FLI1","HOXA4","day_1",67,62,135,0.2561364148644,-0.127942762806473,-0.144632125885507,0.00023438892366567,0.824315366412666,0.0028676662931853,0.0140210021347179,0.917090383947759,0.0651085032000947,-0.589215971869281,-0.0770107815982555,0.512205190271026,"Both_lower_than_TF1_only","not_significant","not_significant"
"ELF2","SP5","day_1",56,44,156,0.273521065241204,0.093702274082322,-0.11520916846978,0.00048669637705437,0.0896468449115619,0.212600103068806,0.0165238715436613,0.507384355877788,0.454346994461561,-0.539719674768644,-0.252270766557758,0.287448908210886,"Both_lower_than_TF1_only","not_significant","not_significant"
"IKZF2","HOXA4","day_1",88,44,153,0.222833183188263,-0.226565962587883,-0.114306444017502,0.000456226184885839,0.345353331059147,0.00120941104239848,0.0165238715436613,0.692794798586767,0.0457848466050854,-0.437389798489166,0.23952387028047,0.676913668769636,"Both_lower_than_TF1_only","not_significant","TF1_only_higher_than_TF2_only"
"ETS1","HOXA4","day_1",67,64,133,0.222941257881637,-0.102778751617487,-0.156992091616734,0.000498833857921851,0.592647459057336,0.0120144766043871,0.0165238715436613,0.813110852784925,0.110059833802893,-0.594096595523649,-0.13962857141032,0.454468024113329,"Both_lower_than_TF1_only","not_significant","not_significant"
"ETS1","SP5","day_1",51,51,149,0.262823439898461,0.107787237649292,-0.129844827797164,0.000868780853405002,0.0302596084822904,0.220663608547376,0.0177097635501789,0.267293208260232,0.467806850120437,-0.669500767925254,-0.387884644850102,0.281616123075152,"Both_lower_than_TF1_only","not_significant","not_significant"
"ELK4","SP5","day_1",51,41,159,0.278887397740133,0.0784150854829468,-0.107325463688455,0.000815616012975699,0.127960405134967,0.164401966875759,0.0177097635501789,0.538246148583592,0.399964977498575,-0.60696566988246,-0.285911115778438,0.321054554104022,"Both_lower_than_TF1_only","not_significant","not_significant"
"Elf5","HOXA4","day_1",68,62,135,0.238597146303106,-0.161350315288379,-0.129289398079002,0.000771243943122264,0.77031634289527,0.00161406959989558,0.0177097635501789,0.903247039235604,0.0475253826635922,-0.598299472153619,-0.106167425195531,0.492132046958088,"Both_lower_than_TF1_only","not_significant","TF1_only_higher_than_TF2_only"
"ERF::FOXI1","SP5","day_1",55,39,161,0.307633776422769,-0.055957829263925,-0.0724681669588225,0.000689693634616877,0.78612175836424,0.0108426617482543,0.0177097635501789,0.906526748343978,0.110059833802893,-0.477140850281566,-0.0693217646389763,0.40781908564259,"Both_lower_than_TF1_only","not_significant","not_significant"
"NKX2-8","HOXA4","day_1",70,47,150,0.220836649837497,-0.131995374447233,-0.141693371263499,0.000628441470632547,0.975440233583122,0.0147716257688756,0.0177097635501789,0.986609396563082,0.117130674676341,-0.569819060363439,-0.032535769002904,0.537283291360535,"Both_lower_than_TF1_only","not_significant","not_significant"
"ETV7","HOXA4","day_1",74,47,150,0.200398934672457,-0.14310761267636,-0.138211536618372,0.0011118463080296,0.996490919026204,0.0114487487232682,0.0210456622591318,0.996490919026204,0.110059833802893,-0.571816671378583,-0.112934947774887,0.458881723603696,"Both_lower_than_TF1_only","not_significant","not_significant"
"ELK4","HOXA4","day_1",73,60,137,0.20659697400674,-0.158911962405586,-0.130825332439486,0.001328452233183,0.784937503448946,0.0041767719034023,0.0220024901120935,0.906526748343978,0.0651085032000947,-0.541274122198836,0.0114365052091775,0.552710627408013,"Both_lower_than_TF1_only","not_significant","not_significant"
"ERF::FOXI1","NFIX","day_1",61,48,155,0.278276257611261,-0.0548260753513331,-0.0756281863961617,0.00125463469296435,0.889303496257359,0.0324013835477289,0.0220024901120935,0.950263816565323,0.17888263833642,-0.515734449157515,0.0165540511502847,0.5322885003078,"Both_lower_than_TF1_only","not_significant","not_significant"
"EHF","HOXA4","day_1",69,66,131,0.233685844315836,-0.182213821064745,-0.117799054185279,0.00142585869593595,0.532951412976124,0.00101656750395624,0.0222266208484134,0.793438901340858,0.0448983980914008,-0.558827902117535,-0.0035277824486375,0.555300119668897,"Both_lower_than_TF1_only","not_significant","TF1_only_higher_than_TF2_only"
"IKZF2","NFIX","day_1",76,38,165,0.2253805026836,0.0172227239419824,-0.0909605092003902,0.00179017186809922,0.421380907632735,0.18108024472711,0.0263553080581274,0.744708557647002,0.415356309851343,-0.511034851708007,-0.239964942578648,0.271069909129359,"Both_lower_than_TF1_only","not_significant","not_significant"
"ERF::FOXI1","HOXA4","day_1",74,55,142,0.233405910877095,-0.280695158300393,-0.0846447505776276,0.00196279321356374,0.0938182393887231,9.14309302434271e-05,0.0273758000839154,0.507384355877788,0.0242291965145082,-0.413855330935913,0.297635385250868,0.71149071618678,"Both_lower_than_TF1_only","not_significant","TF1_only_higher_than_TF2_only"
"ETS2","HOXA4","day_1",64,64,133,0.230878023430518,-0.20559875428914,-0.107514797098043,0.00225870392125059,0.433533342676758,0.000661623237212892,0.0299278269565703,0.749450206268866,0.0372932264605963,-0.467290826055593,0.109439182719809,0.576730008775403,"Both_lower_than_TF1_only","not_significant","TF1_only_higher_than_TF2_only"
"ETV6","SP5","day_1",54,36,164,0.238068569368392,0.0770530495494495,-0.101363658569778,0.00273455123607379,0.136275888123651,0.237252979523858,0.0312853533953067,0.543338343147178,0.480319456084666,-0.495630996465994,-0.3164055189616,0.179225477504393,"Both_lower_than_TF1_only","not_significant","not_significant"
"FLI1","SP5","day_1",52,50,150,0.248299004375443,0.0285203040897615,-0.10183830284101,0.00258608334492738,0.218123415734839,0.0989287038289029,0.0312853533953067,0.56432697865304,0.304838447844875,-0.563588582040211,-0.179516998009349,0.384071584030861,"Both_lower_than_TF1_only","not_significant","not_significant"
"Elf5","SP5","day_1",55,52,148,0.242078823571651,0.0133474589775252,-0.0982689060033433,0.00283339049617872,0.323465322580243,0.0814878175338324,0.0312853533953067,0.689053203552805,0.276849636493149,-0.538182581557326,-0.19446695096905,0.343715630588276,"Both_lower_than_TF1_only","not_significant","not_significant"
"ETV6","HOXA4","day_1",73,52,145,0.188202598271141,-0.191366564523095,-0.120736047816164,0.00271100191966591,0.513436226887632,0.00515045621752216,0.0312853533953067,0.785004115919162,0.0758261609801874,-0.460802117026441,0.155521468930232,0.616323585956673,"Both_lower_than_TF1_only","not_significant","not_significant"
"ELF2","NFIX","day_1",58,49,154,0.232956821872891,0.0369984854721802,-0.104980170755882,0.00328566986136912,0.325025096015474,0.289221721283442,0.0348281005305127,0.689053203552805,0.512227085422085,-0.628811640305417,-0.241045094793092,0.387766545512324,"Both_lower_than_TF1_only","not_significant","not_significant"
"ELK4","NFIX","day_1",57,50,153,0.228912675916676,0.0307098692139809,-0.103853032476916,0.00381195195230513,0.304239419609739,0.241706412007765,0.0388525872061869,0.668221198033261,0.480319456084666,-0.669500767925254,-0.248147416874443,0.421353351050811,"Both_lower_than_TF1_only","not_significant","not_significant"
"ETV7","SP5","day_1",57,33,167,0.207553062249009,0.117666777379515,-0.106184035180763,0.00499591287376682,0.0760546787713205,0.421513815136329,0.0487269279702044,0.458056588054544,0.627534612422063,-0.461934043512063,-0.307461491115893,0.15447255239617,"Both_lower_than_TF1_only","not_significant","not_significant"
"SP5","HOXA4","day_1",76,73,124,0.104986247148444,-0.0771110038849246,-0.176037782297945,0.00514850559685178,0.333822426319862,0.0981821352870017,0.0487269279702044,0.692666839952026,0.304838447844875,-0.43860478941866,-0.022484818741909,0.41611997067675,"Both_lower_than_TF1_only","not_significant","not_significant"
"SP5","ETV4","day_1",55,47,145,0.0943575752705763,0.281410608871523,-0.131306185252036,0.0365856803317078,0.000741112742489317,0.13437101579138,0.225469890416339,0.0490987191899172,0.356083191847157,-0.307461491115893,-0.66085634221729,-0.353394851101397,"not_significant","Both_lower_than_TF2_only","not_significant"
"ERF::FOXI1","DMRTA2","day_1",56,38,160,0.169620714579954,-0.344594082748967,-0.0265392324599722,0.0788065310877077,0.0155108055282711,0.00067010904486717,0.353961537936314,0.178711454999645,0.0372932264605963,-0.287253204649468,0.461875196788197,0.749128401437666,"not_significant","not_significant","TF1_only_higher_than_TF2_only"
"NR2C1","ERF::FOXI1","day_1",59,51,165,-0.227053445335751,0.250221508889746,-0.0455079644272433,0.0993940721307231,0.0094089097653275,0.000580498179354575,0.400360860120405,0.134542499055325,0.0372932264605963,0.306451451535667,-0.382540913244376,-0.688992364780043,"not_significant","not_significant","TF1_only_lower_than_TF2_only"
"SP5","ELF3","day_1",55,49,145,0.0218511504148949,0.345491808571364,-0.103803748237812,0.273767260386756,0.000146765868907999,0.0197371356114147,0.788568739157502,0.0388929552606199,0.14400384417679,-0.213201388098608,-0.643147077942487,-0.429945689843879,"not_significant","Both_lower_than_TF2_only","not_significant"
"HOXA4","BARHL2","day_1",57,52,140,-0.209885043034926,0.219516329125682,-0.1106738631111,0.502188021113307,0.00695737731714757,0.00149353428060195,0.924165455521017,0.115231561815257,0.0475253826635922,0.0985031718489145,-0.481873841027622,-0.580377012876537,"not_significant","not_significant","TF1_only_lower_than_TF2_only"
"HOXA4","ETV4","day_1",67,62,130,-0.105140620179903,0.235488201482381,-0.15702589797301,0.553719506417229,0.000576076272841706,0.00696023414251952,0.958160362430776,0.0490987191899172,0.0922231023883837,-0.164771969159625,-0.610938657608141,-0.446166688448515,"not_significant","Both_lower_than_TF2_only","not_significant"
"HOXA4","ELF3","day_1",72,69,125,-0.167845431950308,0.25000684512517,-0.122983337504981,0.613750724124807,0.00067962966735598,0.000703645782275402,0.964561496339002,0.0490987191899172,0.0372932264605963,-0.063600070561745,-0.589215971869281,-0.525615901307536,"not_significant","Both_lower_than_TF2_only","TF1_only_lower_than_TF2_only"
"ETV7","NR2C1","day_7",57,57,167,-0.342580097464103,-0.0155275296743324,0.106074434334802,0.000184088448424058,0.244189612528755,0.053999511533113,0.0451572910016317,0.486543212933234,0.332787687355231,0.750891961284483,0.129281256773543,-0.62161070451094,"Both_higher_than_TF1_only","not_significant","not_significant"
"IKZF2","Nr1h3","day_7",78,38,163,-0.28275925643322,0.209286406103456,0.0957867084079379,0.000511214615112812,0.439711557739219,0.00211505135457852,0.0451572910016317,0.66009631218267,0.0809960484921132,0.561370375384738,-0.490448218885798,-1.05181859427054,"Both_higher_than_TF1_only","not_significant","not_significant"
"IKZF2","NR2C1","day_7",67,50,174,-0.311215454765059,0.0483982880902657,0.0828129134365613,0.000446055173090063,0.647807235102129,0.0199203726883515,0.0451572910016317,0.817677517334067,0.18203099180735,0.580865433948358,-0.134147762676235,-0.715013196624593,"Both_higher_than_TF1_only","not_significant","not_significant"
"ZNF354C","FLI1","day_7",60,53,149,-0.160195635284126,-0.30942005270107,0.0978100185412553,0.0313370568096567,0.00162245749905414,0.352798791820148,0.264935258155219,0.0429951237249346,0.646389505548756,0.465182313710574,0.547185925915605,0.082003612205031,"not_significant","Both_higher_than_TF2_only","not_significant"
"NR2C1","Elf5","day_7",71,50,153,-0.0272578367619859,-0.303997888685727,0.122644887271738,0.1555180612638,0.000706150077436514,0.073929669724675,0.463108451402943,0.0333223540356314,0.416837499511465,0.240951177131478,0.663450205609633,0.422499028478155,"not_significant","Both_higher_than_TF2_only","not_significant"
"HIC2","ELF3","day_7",97,32,162,-0.0244892382579547,-0.405844955117368,0.0621107238674421,0.351620198353187,0.0014634492237452,0.0138103973590919,0.667277366821819,0.0429951237249346,0.159119795659102,0.0511341179524182,0.695472380874229,0.644338262921811,"not_significant","Both_higher_than_TF2_only","not_significant"
"NR2C1","ETS1","day_7",70,46,154,0.0328626077242256,-0.357102717607056,0.0943440181933711,0.495401695737759,0.000754468393259578,0.0106551819826278,0.753871371672696,0.0333223540356314,0.148611748705072,0.170583405280954,0.826629051933943,0.65604564665299,"not_significant","Both_higher_than_TF2_only","not_significant"
"NR2C1","FLI1","day_7",68,46,156,0.0327677406332361,-0.357102717607056,0.0935971473039416,0.497595191007737,0.000703562614897558,0.0124892123797804,0.753871371672696,0.0333223540356314,0.159119795659102,0.134874262458467,0.790919909111457,0.65604564665299,"not_significant","Both_higher_than_TF2_only","not_significant"
"NR2C1","ETV6","day_7",62,56,162,0.0337843447985866,-0.333097847186753,0.0909551355861887,0.491550631493669,0.000490021515699659,0.0192000733842024,0.753871371672696,0.0333223540356314,0.181714980243345,-0.0227910893226567,0.694646846125335,0.717437935447992,"not_significant","Both_higher_than_TF2_only","not_significant"
"NR2C1","ELF3","day_7",79,49,145,0.0457090160824535,-0.329458170799822,0.0911610280824905,0.568917206646032,0.00124450596555072,0.0102077157905478,0.793489788216833,0.0412242601088677,0.148611748705072,0.066177738820486,0.755674013846834,0.689496275026348,"not_significant","Both_higher_than_TF2_only","not_significant"
"NR2C1","EHF","day_7",73,49,151,0.0455558137249267,-0.332001730224415,0.089429052586459,0.609831527238698,0.00104537176531641,0.00988243839329236,0.811358256943093,0.039574788258407,0.148611748705072,0.066177738820486,0.755674013846834,0.689496275026348,"not_significant","Both_higher_than_TF2_only","not_significant"
"NR2C1","ELF2","day_7",66,54,158,0.0483703312387811,-0.287970703254154,0.0863096169665531,0.626006219999808,0.0020363776009305,0.0179875846096791,0.818167685391312,0.0490581876587802,0.181714980243345,-0.0173861708296346,0.54716108047463,0.564547251304264,"not_significant","Both_higher_than_TF2_only","not_significant"
"NR2C1","ELK4","day_7",63,49,161,0.0498541246791321,-0.36078146834414,0.0850220589297493,0.713700907638639,0.00063717923416385,0.00748334544060709,0.863523031714781,0.0333223540356314,0.131218344251463,0.115435359299003,0.780664499289294,0.665229139990291,"not_significant","Both_higher_than_TF2_only","not_significant"
"NR2C1","SP5","day_7",63,39,161,0.0785263309974765,-0.412809198141155,0.0738024999356144,0.867060311505369,0.000559624809043199,0.00213219520517319,0.928425264907698,0.0333223540356314,0.0809960484921132,-0.004303481522349,0.837606377014594,0.841909858536943,"not_significant","Both_higher_than_TF2_only","not_significant"
